system,raw,raw_unc,dep,dep_unc_upper,dep_unc_lower,gdp,gdp_unc_upper,gdp_unc_lower
DFB_monohydrate_OHb,3614,1,3614,1,1,3614,3,8
FBA_monohydrate_OHb,3530,2,3530,10,10,3530,12,19
EUC_monohydrate_OHb,3509,1,3509,1,1,3509,3,11
IMP_monohydrate_OHb,3482,1,3482,1,1,3482,3,12
IMP_dihydrate_2d_OHb,3367,4,3367,4,4,3367,6,26
IMP_dihydrate_2i_OHb,3492,2,3492,2,2,3492,4,12
MOP_monohydrate_OHb,3458,1,3458,1,1,3458,3,13
DPA_monohydrate_OHb,3273,2,3266,6,6,3266,8,5
DPA_dihydrate_2i_OHb,3489,2,3489,2,2,3489,4,13
PYE_monohydrate_OHb,3101,6,3101,6,6,3101,30,5
OTM_monohydrate_OHb,3494,1,3500,3,7,3500,5,17
DHA_monohydrate_OHb,3362,5,3362,9,5,3362,11,28
